ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Vermelho;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37095629?pos=p37095629g:&np=3;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Vermelho;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37095629?pos=p37095629g:&np=3;;Sim;;
2013/2014;39.800;Manual;Hatchback;Gasolina e álcool;4;Vermelho;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013-2014/36656533?pos=r36656533c:&np=3;Sim;Sim;;
2019/2019;50.408;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37163094?pos=s37163094g:&np=3;;Sim;;
2016/2016;45.000;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-manual/4-portas/2016/37179691?pos=t37179691c:&np=3;;Sim;Sim;
2016/2016;45.000;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-manual/4-portas/2016/37179691?pos=t37179691c:&np=3;;Sim;Sim;
2020/2020;40.000;Manual;Hatchback;Gasolina e álcool;3;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020/37192792?pos=v37192792g:&np=3;;Sim;;
2020/2021;5.616;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;Sim;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37565075?pos=w37565075m:&np=3;;;;
2020/2020;35.229;Manual;Hatchback;Gasolina e álcool;6;Cinza;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020/37207353?pos=x37207353g:&np=3;;;;
2019/2019;48.832;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37211716?pos=a37211716g:&np=4;;Sim;;
