link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2014-2015/35880385?pos=k35880385g:&np=15;43,9;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2014/2015;119252 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016/36292074?pos=l36292074a:&np=15;44,152;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2016/2016;100000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36078277?pos=m36078277g:&np=15;56,9;1;1.0 12V FLEX SENSE MANUAL;2019/2020;101 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/35870304?pos=n35870304g:&np=15;59,9;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-turbo-flex-4p-manual/0-portas/2017/36006298?pos=o36006298a:&np=15;44,5;1;1.0 COMFORT PLUS 12V TURBO FLEX 4P MANUAL;2017/2017;55000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/36477194?pos=p36477194g:&np=15;44,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;100000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36363438?pos=q36363438g:&np=15;47,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;58298 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36096793?pos=r36096793g:&np=15;61,99;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36113192?pos=s36113192g:&np=15;63,89;1;1.0 12V FLEX SENSE MANUAL;2021/2021;101 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/36320424?pos=t36320424g:&np=15;57,89;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2019/2019;19399 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2020/36146113?pos=u36146113g:&np=15;69,9;1;1.6 16V FLEX VISION AUTOMÁTICO;2020/2020;6727 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36113182?pos=v36113182g:&np=15;63,89;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-automatico/4-portas/2018/36565383?pos=w36565383g:&np=15;64,9;1;1.6 R SPEC 16V FLEX 4P AUTOMÁTICO;2018/2018;41000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36113184?pos=x36113184g:&np=15;63,9;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36113172?pos=a36113172g:&np=16;63,89;1;1.0 12V FLEX SENSE MANUAL;2021/2021;100 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/36116863?pos=b36116863g:&np=16;43,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;69990 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36141108?pos=c36141108g:&np=16;49,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;50000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36600781?pos=d36600781a:&np=16;43,8;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2017;45800 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/34965470?pos=e34965470a:&np=16;46,0;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2017/2018;50000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/34686051?pos=f34686051a:&np=16;46,8;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;15450 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020/36628139?pos=g36628139g:&np=16;52,9;1;1.0 12V FLEX SENSE MANUAL;2020/2020;45000 km
